cardId,nova_fee_usd,tx_type,tid
d1f93d8b-864a-46d4-8e9a-f619f4cada30,0.83,Consumption,lrEmCSGlD2
a0d18354-0264-4014-99e7-4e53e9fe8a9a,0.22,Reversal,edad5ff8-bfc8-45e9-b5ab-053d694faebd
0dd0c1ce-6ef9-4574-9912-beaf6ae65660,0.09,Consumption,ncg8r9TJLm
0930a35b-599b-4197-96b6-6e5e5d98253f,0.12,Consumption,omPbGlH1Kr
8d0d4516-f652-468d-823d-45adfed9330a,1.97,Consumption,u0aVNGU9S2
0dd0c1ce-6ef9-4574-9912-beaf6ae65660,2.88,Reversal,32fdb860-594f-422d-89b8-79499a9a0b6e
d1f93d8b-864a-46d4-8e9a-f619f4cada30,0.25,Consumption,thuF8k0iYd
19df448d-4f24-4c8f-9163-f73454215c84,1.18,Consumption,qkfLSgJypQ
cc7a6ad6-cc9e-48fa-b9ab-6c85ae03a0cb,0.88,Consumption,r5noPlquOK
cc7a6ad6-cc9e-48fa-b9ab-6c85ae03a0cb,0.39,Consumption,1ymlRnemtI
391effe9-76f6-4a13-834d-ed1eb32713a2,0.72,Consumption,uCKm7X4N8c
391effe9-76f6-4a13-834d-ed1eb32713a2,0.72,Consumption,VKRqtB0mZx
48af695b-9a95-4d9c-a0ed-e31315be8819,3.04,Consumption,FWIT87ugKI
48af695b-9a95-4d9c-a0ed-e31315be8819,0.12,Reversal,9c452582-112a-486e-9a7d-0b4a4083f1c2
b1a9870b-b864-466d-9a81-3862d12e4148,0.07,Consumption,2DAxvZxKrz
02f90932-3bb6-40ab-8e5c-ab1df955b792,1.19,Consumption,tbiKrRqkYv
8d0d4516-f652-468d-823d-45adfed9330a,2.68,Consumption,dEGnSPCwDM
8d0d4516-f652-468d-823d-45adfed9330a,2.68,Consumption,5akq1BQXQS
2dd34fc5-3609-41a5-8a8b-eaadfc1f6834,134.7,Consumption,d3xGkHj5qV
2dd34fc5-3609-41a5-8a8b-eaadfc1f6834,134.7,Consumption,cXx2atAhHb
3b0be05a-a362-4efe-9cd4-1eabcf141612,2.09,Reversal,72e309b3-d5ab-45d1-b252-4cc563c8d646
3f83a65a-7d9f-482c-8505-42ad69db7fa5,1.86,Consumption,6K7Km5vnVL
3b0be05a-a362-4efe-9cd4-1eabcf141612,0.01,Reversal,df75d20a-2361-4cb3-a895-0b63e4c6d6d5
3b0be05a-a362-4efe-9cd4-1eabcf141612,0.33,Reversal,f801c417-8a12-4860-8df4-8cd430dedb9c
766aa1d0-00b8-4a04-8b15-e0067eb1effc,1.25,Reversal,56379ff3-e30f-4b3b-93ef-aae2f97f118d
19df448d-4f24-4c8f-9163-f73454215c84,2.53,Consumption,eV7Ar53XwZ
02f90932-3bb6-40ab-8e5c-ab1df955b792,8.06,Consumption,BIJBnfW7x8
02f90932-3bb6-40ab-8e5c-ab1df955b792,8.06,Consumption,A2Q58VDXDj
02f90932-3bb6-40ab-8e5c-ab1df955b792,3.68,Consumption,wqXAA4H64A
02f90932-3bb6-40ab-8e5c-ab1df955b792,3.68,Consumption,UO2IXItIXB
19df448d-4f24-4c8f-9163-f73454215c84,2.38,Consumption,bp29w64G8K
0934e1ed-3e21-49ee-8e6d-b17147766d02,2.66,Consumption,Vh8puhw8w1
67e1593e-82a9-4ab9-aba0-4f8990d0f381,0.82,Consumption,39Ki0XbFZq
3b0be05a-a362-4efe-9cd4-1eabcf141612,0.14,Consumption,zDVQGAkEV9
76ac437a-8cbc-4ca9-9fc3-389c23cef9b3,4.05,Consumption,xZc122Xuos
b1a9870b-b864-466d-9a81-3862d12e4148,0.12,Consumption,ZYN1kZS8Ez
02f90932-3bb6-40ab-8e5c-ab1df955b792,2.96,Consumption,l0bpVODakN
02f90932-3bb6-40ab-8e5c-ab1df955b792,2.96,Consumption,hFnyE0ANKU
90d4402c-e942-482a-a7c3-aae9dae44809,0.4,Consumption,2oHlnG7PCw
